Age,Tenure_Months,Monthly_Charges,Total_Charges,Num_Products,Support_Calls,Satisfaction_Score,Contract_Type,Payment_Method,Internet_Service,Churn
63,19,56.83,1033.96,2,6,3,Month-to-Month,Electronic Check,No,1
47,60,63.23,3846.13,1,2,2,Month-to-Month,Credit Card,DSL,0
55,39,23.11,939.3,1,2,3,Two Year,Mailed Check,Fiber Optic,0
55,18,45.96,874.13,3,1,2,Month-to-Month,Electronic Check,Fiber Optic,1
62,19,23.37,414.58,1,4,2,Month-to-Month,Bank Transfer,No,1
68,36,107.92,3861.84,4,2,2,Two Year,Credit Card,No,0
25,55,44.34,2349.3,1,3,5,Month-to-Month,Credit Card,No,0
44,69,75.73,5271.97,3,1,2,Month-to-Month,Mailed Check,Fiber Optic,0
44,47,23.9,1178.13,1,4,2,One Year,Credit Card,Fiber Optic,1
51,49,86.68,4301.52,2,4,2,Month-to-Month,Credit Card,DSL,0
38,33,52.3,1806.1,3,0,5,Month-to-Month,Bank Transfer,Fiber Optic,0
47,21,109.79,2326.7,2,8,4,Month-to-Month,Bank Transfer,No,1
50,22,108.81,2471.66,2,3,4,One Year,Bank Transfer,Fiber Optic,0
45,48,52.53,2511.42,1,2,2,Two Year,Electronic Check,DSL,1
64,37,110.1,3985.35,1,3,4,Month-to-Month,Electronic Check,Fiber Optic,1
50,15,119.62,1837.34,1,0,3,Month-to-Month,Credit Card,Fiber Optic,0
22,35,102.54,3498.71,2,2,3,Month-to-Month,Electronic Check,Fiber Optic,0
65,71,104.49,7427.3,1,2,4,Two Year,Mailed Check,Fiber Optic,0
36,32,44.9,1484.57,1,1,4,Month-to-Month,Bank Transfer,Fiber Optic,0
21,11,77.67,870.58,2,3,4,Two Year,Electronic Check,DSL,0
52,10,26.73,381.21,2,2,5,Month-to-Month,Credit Card,No,0
66,57,29.49,1582.63,2,2,5,Two Year,Bank Transfer,Fiber Optic,1
34,25,119.89,2993.11,1,2,2,One Year,Electronic Check,DSL,0
61,2,52.66,106.19,1,3,3,One Year,Bank Transfer,DSL,1
45,64,94.82,6001.27,4,3,1,Month-to-Month,Electronic Check,No,1
47,35,100.67,3465.76,1,3,5,One Year,Credit Card,No,1
46,7,105.8,698.34,3,1,2,Month-to-Month,Electronic Check,Fiber Optic,1
63,18,119.76,2100.7,3,2,5,Month-to-Month,Electronic Check,DSL,0
23,67,44.15,2952.65,3,3,3,Month-to-Month,Electronic Check,DSL,0
52,42,24.04,979.53,1,0,3,Two Year,Bank Transfer,DSL,1
58,39,61.12,2399.58,3,3,1,One Year,Electronic Check,Fiber Optic,0
54,41,33.01,1385.88,3,1,3,Month-to-Month,Electronic Check,Fiber Optic,0
41,24,22.24,562.85,2,1,5,One Year,Electronic Check,Fiber Optic,0
46,60,56.04,3341.89,1,0,1,Month-to-Month,Bank Transfer,Fiber Optic,0
66,46,98.37,4539.24,1,2,3,Two Year,Credit Card,DSL,1
63,19,76.62,1507.54,1,3,1,One Year,Credit Card,DSL,1
48,68,51.28,3509.32,2,2,3,One Year,Credit Card,Fiber Optic,0
52,42,85.43,3681.01,2,4,2,Month-to-Month,Electronic Check,DSL,0
50,32,43.2,1431.51,1,1,3,Two Year,Bank Transfer,DSL,0
69,39,21.44,922.08,2,2,5,Two Year,Credit Card,Fiber Optic,0
38,36,96.44,3347.22,1,1,3,One Year,Credit Card,No,0
49,36,82.37,2970.15,2,2,3,Month-to-Month,Credit Card,Fiber Optic,0
40,3,96.23,272.49,4,4,4,One Year,Mailed Check,No,0
50,8,23.89,184.87,1,0,2,One Year,Bank Transfer,Fiber Optic,1
20,70,103.71,7219.45,1,3,3,Month-to-Month,Mailed Check,Fiber Optic,0
35,41,81.95,3379.76,1,1,3,Month-to-Month,Electronic Check,DSL,0
42,68,76.34,5100.7,2,2,2,Month-to-Month,Credit Card,No,1
59,13,82.46,1092.15,2,1,4,One Year,Electronic Check,DSL,0
48,49,106.44,5176.97,4,2,3,Month-to-Month,Bank Transfer,DSL,0
20,60,78.69,4696.38,1,3,4,Month-to-Month,Electronic Check,DSL,0
57,2,78.1,178.13,4,3,5,One Year,Electronic Check,No,0
63,60,119.07,7148.14,1,1,2,Month-to-Month,Credit Card,No,0
41,5,95.67,531.05,2,1,3,Month-to-Month,Bank Transfer,No,1
67,44,64.23,2777.64,1,3,3,Month-to-Month,Electronic Check,Fiber Optic,1
49,27,90.74,2445.94,3,5,2,Two Year,Mailed Check,Fiber Optic,0
64,32,58.92,1929.88,2,1,4,One Year,Credit Card,No,0
39,21,42.89,918.75,2,3,4,Month-to-Month,Mailed Check,Fiber Optic,1
40,8,79.69,658.8,3,1,3,Two Year,Credit Card,No,0
19,50,112.82,5696.4,1,1,3,Month-to-Month,Electronic Check,DSL,0
44,67,112.91,7544.66,1,2,1,Two Year,Credit Card,DSL,1
59,44,54.19,2353.52,3,0,4,Month-to-Month,Electronic Check,No,0
19,58,72.77,4249.46,1,2,4,Month-to-Month,Mailed Check,DSL,0
43,3,41.16,116.01,1,2,4,Month-to-Month,Electronic Check,No,0
34,70,119.56,8425.31,2,1,3,Month-to-Month,Credit Card,Fiber Optic,0
57,2,118.11,254.71,2,4,4,Month-to-Month,Credit Card,No,1
50,44,84.95,3706.63,1,5,3,One Year,Credit Card,DSL,0
26,2,100.44,217.8,1,2,3,Two Year,Mailed Check,Fiber Optic,0
60,35,91.51,3157.72,1,1,3,Month-to-Month,Bank Transfer,Fiber Optic,0
65,30,79.32,2426.95,2,2,3,Month-to-Month,Mailed Check,Fiber Optic,1
56,8,25.33,132.78,3,3,4,Month-to-Month,Electronic Check,Fiber Optic,0
46,22,65.48,1501.66,4,0,5,Month-to-Month,Electronic Check,No,0
59,44,87.48,3865.16,2,1,1,One Year,Mailed Check,Fiber Optic,1
43,58,87.75,5081.27,1,5,5,Month-to-Month,Mailed Check,DSL,1
52,36,57.31,2101.33,4,3,3,One Year,Electronic Check,No,0
67,69,114.17,7903.3,2,0,4,Month-to-Month,Electronic Check,DSL,1
42,31,36.74,1205.46,1,4,5,Month-to-Month,Electronic Check,Fiber Optic,0
41,47,70.04,3357.93,4,2,3,Month-to-Month,Bank Transfer,DSL,0
30,55,89.09,4917.56,3,2,4,Month-to-Month,Bank Transfer,No,1
24,62,89.71,5518.43,2,1,2,Month-to-Month,Mailed Check,DSL,1
53,30,84.86,2518.72,2,4,2,One Year,Mailed Check,DSL,1
62,55,47.53,2610.57,1,1,4,Month-to-Month,Bank Transfer,No,1
37,16,35.62,624.01,1,1,5,Month-to-Month,Credit Card,No,0
18,12,83.59,980.26,2,3,5,One Year,Bank Transfer,DSL,0
25,17,79.93,1340.16,1,2,4,Month-to-Month,Mailed Check,Fiber Optic,0
63,16,37.94,699.46,2,2,3,One Year,Bank Transfer,No,0
33,12,90.51,1080.91,3,1,3,Month-to-Month,Credit Card,DSL,0
31,8,65.52,492.42,3,2,5,Month-to-Month,Mailed Check,No,0
29,3,86.78,299.17,2,2,3,Two Year,Electronic Check,Fiber Optic,0
68,16,103.74,1657.03,3,1,4,One Year,Mailed Check,Fiber Optic,1
40,30,36.97,1039.62,3,2,3,Month-to-Month,Bank Transfer,Fiber Optic,1
32,23,21.91,555.98,2,1,4,Month-to-Month,Bank Transfer,Fiber Optic,0
45,5,97.91,452.2,1,3,3,Two Year,Credit Card,DSL,1
51,65,80.97,5265.23,1,0,5,Month-to-Month,Bank Transfer,Fiber Optic,1
19,30,89.96,2695.39,1,1,4,Month-to-Month,Credit Card,DSL,0
49,21,103.82,2191.73,1,2,5,One Year,Mailed Check,Fiber Optic,0
40,70,100.28,6910.05,1,3,1,One Year,Bank Transfer,DSL,1
39,22,116.09,2537.23,1,3,4,One Year,Mailed Check,No,0
68,32,73.59,2411.12,2,0,4,One Year,Electronic Check,DSL,0
42,33,68.85,2335.32,4,1,4,One Year,Electronic Check,Fiber Optic,0
39,16,60.19,913.48,1,2,5,Two Year,Credit Card,Fiber Optic,0
39,38,35.37,1390.09,2,0,1,One Year,Bank Transfer,Fiber Optic,0
66,14,77.26,1043.57,2,2,1,Month-to-Month,Mailed Check,Fiber Optic,1
69,36,47.7,1698.47,1,3,3,Month-to-Month,Mailed Check,No,0
59,23,112.13,2562.89,4,2,1,One Year,Bank Transfer,DSL,1
23,66,78.32,5174.56,2,4,5,Two Year,Mailed Check,DSL,0
32,2,79.28,208.63,1,2,2,Month-to-Month,Bank Transfer,Fiber Optic,1
60,65,55.49,3620.08,3,2,3,Month-to-Month,Bank Transfer,No,1
54,67,25.2,1682.09,1,0,1,Two Year,Electronic Check,DSL,0
50,52,23.17,1253.21,2,0,3,One Year,Bank Transfer,DSL,0
25,62,62.33,3824.33,1,2,3,Month-to-Month,Mailed Check,DSL,0
61,23,28.46,650.72,3,1,1,One Year,Bank Transfer,Fiber Optic,0
61,26,80.68,2147.47,2,1,3,Two Year,Electronic Check,Fiber Optic,0
22,68,108.1,7377.27,2,3,3,Two Year,Electronic Check,No,0
56,55,108.29,5932.63,1,2,5,One Year,Credit Card,DSL,1
21,6,85.9,439.75,2,4,2,Month-to-Month,Mailed Check,DSL,0
23,35,41.12,1454.74,3,3,3,Two Year,Bank Transfer,DSL,0
62,22,106.3,2259.67,2,2,5,Month-to-Month,Mailed Check,Fiber Optic,0
49,43,108.61,4659.6,2,1,4,Two Year,Mailed Check,Fiber Optic,0
69,15,39.67,654.0,2,1,5,Month-to-Month,Bank Transfer,DSL,0
47,60,93.74,5654.24,3,2,5,Month-to-Month,Electronic Check,No,0
64,12,48.65,482.62,2,5,3,Month-to-Month,Mailed Check,Fiber Optic,1
52,49,100.26,4922.76,3,4,4,Month-to-Month,Credit Card,Fiber Optic,0
57,42,119.72,5012.28,3,1,2,One Year,Mailed Check,Fiber Optic,0
69,38,23.0,810.31,2,0,3,Two Year,Electronic Check,DSL,1
33,45,109.74,4955.05,1,0,4,One Year,Credit Card,No,0
30,35,82.26,2854.51,2,5,3,Two Year,Credit Card,No,0
67,30,117.34,3495.92,3,4,4,Month-to-Month,Credit Card,Fiber Optic,1
59,30,66.5,2001.2,1,2,4,One Year,Credit Card,Fiber Optic,0
47,6,104.74,597.15,2,2,3,Two Year,Bank Transfer,DSL,1
36,67,26.24,1762.87,3,4,5,One Year,Bank Transfer,Fiber Optic,0
34,7,53.53,345.04,1,3,3,Month-to-Month,Bank Transfer,DSL,1
36,52,26.7,1361.48,2,6,2,One Year,Credit Card,No,1
45,14,117.53,1695.07,1,0,5,One Year,Electronic Check,DSL,0
43,15,101.7,1580.23,1,3,3,Month-to-Month,Mailed Check,DSL,1
54,21,105.25,2124.82,3,1,4,Two Year,Credit Card,DSL,0
43,35,113.8,4020.35,1,1,3,Two Year,Electronic Check,DSL,0
40,66,28.51,1951.59,1,1,3,Month-to-Month,Mailed Check,Fiber Optic,0
26,2,58.56,194.99,3,5,4,One Year,Credit Card,DSL,0
29,35,27.1,974.52,1,6,4,One Year,Mailed Check,Fiber Optic,0
18,20,41.08,768.73,4,1,3,One Year,Bank Transfer,DSL,0
18,10,42.94,460.9,4,2,2,Month-to-Month,Bank Transfer,Fiber Optic,0
64,25,66.91,1629.29,1,0,5,Two Year,Bank Transfer,Fiber Optic,0
51,66,46.86,3075.61,1,0,1,Month-to-Month,Electronic Check,No,1
49,25,30.1,771.65,2,4,5,Month-to-Month,Bank Transfer,No,1
65,54,36.75,1944.26,2,2,3,Two Year,Electronic Check,No,0
42,33,34.73,1088.77,1,1,4,One Year,Bank Transfer,Fiber Optic,0
57,36,117.31,4246.45,2,2,5,Two Year,Bank Transfer,Fiber Optic,0
62,14,95.93,1436.38,1,0,2,Month-to-Month,Bank Transfer,Fiber Optic,1
18,65,116.78,7652.86,3,0,4,Month-to-Month,Electronic Check,No,0
33,54,63.97,3489.74,1,2,4,Two Year,Mailed Check,DSL,1
56,52,47.84,2536.64,1,2,4,Month-to-Month,Electronic Check,Fiber Optic,0
22,3,99.83,331.38,1,0,3,Two Year,Credit Card,DSL,0
39,41,52.63,2180.33,4,2,4,Two Year,Credit Card,Fiber Optic,0
46,6,49.94,344.57,2,1,4,One Year,Electronic Check,Fiber Optic,0
20,25,43.25,1012.83,3,3,4,Month-to-Month,Electronic Check,Fiber Optic,0
29,13,32.97,438.58,1,4,4,One Year,Mailed Check,Fiber Optic,1
43,8,45.65,361.15,1,4,3,Two Year,Electronic Check,No,0
33,21,55.53,1170.08,1,2,5,Month-to-Month,Bank Transfer,Fiber Optic,0
68,68,87.4,5920.13,2,4,3,Month-to-Month,Mailed Check,No,0
54,25,26.26,682.52,2,4,1,Month-to-Month,Electronic Check,DSL,1
39,68,41.05,2750.5,2,2,3,Month-to-Month,Electronic Check,Fiber Optic,0
46,45,100.9,4513.81,1,2,2,Two Year,Credit Card,Fiber Optic,1
31,60,34.69,2048.71,4,0,2,Two Year,Mailed Check,DSL,0
45,12,54.26,694.32,1,4,3,Two Year,Credit Card,Fiber Optic,0
22,32,106.47,3406.45,4,3,1,One Year,Electronic Check,Fiber Optic,0
64,13,35.49,438.33,1,2,4,One Year,Mailed Check,Fiber Optic,0
66,31,28.27,857.7,2,3,1,Month-to-Month,Bank Transfer,Fiber Optic,0
47,20,68.45,1369.19,1,3,2,One Year,Electronic Check,Fiber Optic,0
63,18,50.24,985.43,2,2,1,One Year,Electronic Check,DSL,0
69,60,76.34,4518.57,2,6,1,Two Year,Credit Card,Fiber Optic,0
22,63,100.38,6357.72,2,1,3,Two Year,Bank Transfer,DSL,1
29,6,33.71,225.85,2,2,4,Two Year,Electronic Check,DSL,0
33,32,78.07,2454.09,2,2,5,Two Year,Credit Card,DSL,1
43,43,70.55,3106.99,2,2,5,Two Year,Credit Card,DSL,1
43,2,34.41,95.78,3,3,5,Month-to-Month,Electronic Check,DSL,1
65,60,82.4,4918.61,1,2,2,Two Year,Mailed Check,DSL,1
38,23,47.36,996.31,2,3,3,One Year,Electronic Check,DSL,0
56,31,68.78,2143.64,2,1,1,Month-to-Month,Bank Transfer,Fiber Optic,0
53,5,28.23,138.91,1,1,4,Month-to-Month,Electronic Check,DSL,1
50,34,65.96,2191.1,2,0,1,One Year,Mailed Check,Fiber Optic,0
47,10,50.65,454.32,1,6,4,Month-to-Month,Credit Card,No,1
54,2,102.24,247.91,1,2,2,Month-to-Month,Bank Transfer,No,0
40,11,25.7,184.92,1,6,2,One Year,Bank Transfer,DSL,0
27,50,61.86,3108.71,1,2,5,Two Year,Bank Transfer,No,0
22,31,65.84,2031.67,2,1,4,Two Year,Bank Transfer,DSL,0
53,56,92.5,5204.86,2,1,4,Month-to-Month,Mailed Check,DSL,0
51,9,77.43,682.15,4,0,4,Month-to-Month,Mailed Check,No,1
69,21,86.72,1835.78,2,2,5,Month-to-Month,Mailed Check,No,1
48,28,97.7,2698.46,1,2,4,Month-to-Month,Mailed Check,Fiber Optic,0
27,62,106.22,6583.18,3,5,5,Month-to-Month,Credit Card,Fiber Optic,0
36,7,51.39,384.18,3,1,3,Two Year,Electronic Check,Fiber Optic,0
49,16,73.8,1188.34,2,1,4,One Year,Mailed Check,DSL,0
18,4,104.01,435.06,2,2,4,Month-to-Month,Electronic Check,DSL,0
22,4,118.95,429.4,4,2,3,Month-to-Month,Bank Transfer,Fiber Optic,1
62,40,108.95,4328.47,2,2,5,Month-to-Month,Credit Card,No,1
21,17,57.15,942.88,4,0,5,Month-to-Month,Credit Card,DSL,0
33,52,39.52,2041.22,1,3,3,Month-to-Month,Electronic Check,No,0
41,52,68.94,3652.81,1,3,3,Two Year,Electronic Check,DSL,1
33,36,94.16,3372.05,2,3,3,Month-to-Month,Electronic Check,Fiber Optic,1
19,38,69.26,2574.7,2,1,5,Month-to-Month,Credit Card,Fiber Optic,0
66,50,68.32,3443.08,3,3,4,Month-to-Month,Mailed Check,Fiber Optic,0
45,63,103.82,6607.99,4,1,1,One Year,Credit Card,DSL,0
49,63,56.14,3473.76,1,2,3,Month-to-Month,Mailed Check,Fiber Optic,0
44,62,105.98,6669.4,1,2,1,Month-to-Month,Bank Transfer,Fiber Optic,0
37,7,60.68,445.52,3,1,4,Month-to-Month,Mailed Check,DSL,0
41,27,52.82,1477.83,2,5,3,One Year,Electronic Check,DSL,0
29,14,65.4,988.95,1,1,3,Month-to-Month,Mailed Check,Fiber Optic,0
67,71,96.24,6881.67,2,2,4,Month-to-Month,Mailed Check,Fiber Optic,0
52,5,32.6,157.47,2,1,1,Month-to-Month,Credit Card,DSL,1
50,55,39.64,2241.08,3,4,2,Month-to-Month,Electronic Check,Fiber Optic,0
50,2,115.14,243.01,2,2,3,Month-to-Month,Bank Transfer,No,1
68,62,37.55,2382.62,1,1,2,Month-to-Month,Mailed Check,DSL,1
60,21,76.77,1672.16,4,1,3,Month-to-Month,Bank Transfer,Fiber Optic,0
54,21,77.93,1581.99,2,1,5,Month-to-Month,Electronic Check,DSL,0
29,10,68.96,729.32,2,3,4,Month-to-Month,Mailed Check,DSL,1
20,58,84.47,4890.17,1,1,5,Month-to-Month,Credit Card,DSL,1
18,39,42.98,1683.13,2,1,5,Month-to-Month,Bank Transfer,Fiber Optic,0
50,5,75.27,382.7,1,3,3,Two Year,Credit Card,No,0
57,65,57.22,3723.65,1,3,3,One Year,Bank Transfer,DSL,0
27,13,86.17,1196.39,2,2,2,Two Year,Electronic Check,Fiber Optic,0
60,53,34.12,1740.04,1,0,4,Two Year,Mailed Check,Fiber Optic,0
61,45,77.09,3382.93,2,1,4,Two Year,Bank Transfer,DSL,0
46,32,38.53,1136.3,1,2,2,One Year,Credit Card,Fiber Optic,0
30,36,47.86,1776.42,2,1,3,One Year,Bank Transfer,No,1
29,60,41.87,2473.53,1,0,3,Month-to-Month,Bank Transfer,No,0
48,11,38.28,427.69,1,0,3,Month-to-Month,Bank Transfer,No,0
63,63,102.57,6456.17,1,0,5,One Year,Bank Transfer,DSL,0
19,21,48.57,975.65,4,2,3,Two Year,Bank Transfer,No,0
68,52,112.71,5903.49,3,0,5,Month-to-Month,Bank Transfer,DSL,0
67,55,116.99,6428.08,1,0,3,One Year,Credit Card,Fiber Optic,0
52,26,77.13,1993.49,3,5,4,Month-to-Month,Bank Transfer,No,1
40,68,34.3,2344.04,2,3,5,Month-to-Month,Bank Transfer,DSL,0
34,34,57.45,1989.34,4,1,5,Month-to-Month,Bank Transfer,Fiber Optic,0
43,52,99.77,5140.09,1,0,1,Month-to-Month,Mailed Check,Fiber Optic,0
25,52,56.74,2994.13,2,2,2,Month-to-Month,Electronic Check,Fiber Optic,0
46,29,28.7,904.79,1,0,3,One Year,Electronic Check,DSL,0
43,38,75.68,2804.53,1,1,3,Two Year,Electronic Check,No,1
27,42,104.51,4403.33,4,1,4,Two Year,Credit Card,Fiber Optic,0
43,21,99.59,2076.14,2,2,5,Month-to-Month,Credit Card,DSL,1
51,42,37.51,1610.38,1,2,2,Two Year,Credit Card,DSL,0
68,13,87.28,1073.81,1,3,3,Month-to-Month,Bank Transfer,No,1
58,64,42.05,2772.65,2,2,2,Month-to-Month,Electronic Check,DSL,0
24,17,41.82,630.55,2,2,5,One Year,Bank Transfer,DSL,0
21,9,107.41,954.48,1,2,5,Month-to-Month,Mailed Check,Fiber Optic,0
67,41,44.97,1865.48,4,0,3,Month-to-Month,Electronic Check,Fiber Optic,0
62,1,46.32,12.0,1,2,2,Month-to-Month,Mailed Check,Fiber Optic,1
28,2,20.07,-2.03,1,0,4,One Year,Mailed Check,Fiber Optic,0
46,60,107.07,6435.31,4,0,4,Month-to-Month,Bank Transfer,Fiber Optic,0
53,48,99.26,4768.37,1,4,3,One Year,Electronic Check,No,0
42,29,82.73,2399.47,1,2,5,One Year,Mailed Check,DSL,0
38,10,95.03,993.23,2,3,5,One Year,Electronic Check,Fiber Optic,1
53,58,35.2,2021.88,3,4,4,Two Year,Mailed Check,No,0
27,60,65.83,3965.78,1,4,4,Month-to-Month,Mailed Check,Fiber Optic,0
54,21,55.12,1132.19,4,1,3,Month-to-Month,Bank Transfer,Fiber Optic,0
26,28,29.38,780.17,3,3,4,Month-to-Month,Electronic Check,DSL,0
41,34,68.61,2318.5,1,1,3,Month-to-Month,Bank Transfer,Fiber Optic,0
52,8,112.07,871.62,2,3,3,One Year,Bank Transfer,Fiber Optic,1
66,59,24.01,1394.15,1,1,1,Month-to-Month,Bank Transfer,Fiber Optic,1
52,49,49.15,2466.62,2,2,3,Month-to-Month,Bank Transfer,No,0
65,17,40.75,680.04,3,3,2,One Year,Bank Transfer,DSL,1
53,60,43.81,2595.45,4,1,3,One Year,Mailed Check,DSL,0
35,45,110.84,4989.2,1,4,4,One Year,Electronic Check,DSL,1
66,69,66.81,4615.1,2,2,4,Two Year,Electronic Check,Fiber Optic,0
56,32,66.63,2072.82,2,0,3,One Year,Bank Transfer,DSL,0
49,44,96.06,4211.72,1,1,3,One Year,Electronic Check,Fiber Optic,1
41,65,35.45,2287.32,1,0,4,Month-to-Month,Mailed Check,DSL,0
40,8,68.73,541.23,1,1,3,Two Year,Bank Transfer,Fiber Optic,0
49,43,63.0,2745.28,2,4,5,One Year,Credit Card,DSL,0
54,1,79.69,86.52,2,2,3,Month-to-Month,Credit Card,No,0
29,51,119.96,6179.36,1,2,4,Month-to-Month,Mailed Check,Fiber Optic,1
66,24,96.94,2325.98,3,1,1,One Year,Mailed Check,No,0
30,24,59.79,1523.76,3,1,4,Two Year,Credit Card,Fiber Optic,0
40,17,102.76,1723.88,2,4,5,Month-to-Month,Bank Transfer,DSL,0
42,5,37.07,146.87,1,4,5,Month-to-Month,Mailed Check,DSL,0
52,20,23.05,488.37,2,1,5,Two Year,Credit Card,No,0
58,21,40.44,917.44,1,4,3,Two Year,Bank Transfer,Fiber Optic,1
47,58,54.04,3065.38,1,0,4,Month-to-Month,Mailed Check,DSL,0
34,31,71.06,2193.01,2,2,3,Month-to-Month,Electronic Check,Fiber Optic,0
66,11,81.51,866.07,1,0,4,One Year,Electronic Check,Fiber Optic,0
37,52,111.06,5782.26,1,2,2,Month-to-Month,Electronic Check,DSL,1
65,15,70.99,1065.35,1,1,5,Two Year,Bank Transfer,DSL,1
42,7,70.13,558.18,1,3,5,Month-to-Month,Mailed Check,No,1
39,28,25.02,695.14,1,3,3,Month-to-Month,Credit Card,DSL,1
30,51,23.49,1266.73,4,0,3,Month-to-Month,Mailed Check,DSL,0
36,58,75.12,4341.2,1,2,2,Month-to-Month,Electronic Check,DSL,0
66,5,63.82,365.42,1,0,4,Month-to-Month,Electronic Check,DSL,1
53,5,103.92,531.03,1,2,3,Month-to-Month,Bank Transfer,Fiber Optic,1
29,8,36.07,375.05,4,1,5,One Year,Credit Card,DSL,0
58,64,22.5,1366.15,2,3,4,Month-to-Month,Bank Transfer,DSL,0
36,10,64.9,590.81,1,2,4,Two Year,Credit Card,No,0
29,38,43.75,1754.08,3,1,4,Month-to-Month,Mailed Check,DSL,0
26,8,24.96,163.02,1,2,1,One Year,Bank Transfer,Fiber Optic,0
24,25,92.46,2278.01,1,3,5,Month-to-Month,Bank Transfer,Fiber Optic,1
45,66,31.16,2012.77,1,3,4,Month-to-Month,Bank Transfer,Fiber Optic,0
31,50,80.83,4098.92,1,0,5,One Year,Electronic Check,No,0
48,67,48.1,3160.03,1,1,3,One Year,Electronic Check,DSL,0
69,49,37.35,1831.27,2,4,4,One Year,Credit Card,No,0
36,36,57.98,2074.0,1,3,1,One Year,Mailed Check,Fiber Optic,0
64,68,100.14,6861.35,2,1,4,One Year,Bank Transfer,Fiber Optic,0
33,41,59.21,2399.43,1,0,4,Month-to-Month,Electronic Check,DSL,1
22,62,95.08,5915.72,1,4,4,Two Year,Bank Transfer,DSL,0
52,10,32.55,266.94,2,1,4,One Year,Credit Card,Fiber Optic,0
29,21,97.28,2156.58,4,3,2,Two Year,Credit Card,No,0
42,36,43.69,1560.86,1,1,5,Two Year,Mailed Check,Fiber Optic,0
69,12,87.74,1053.32,2,2,5,Month-to-Month,Credit Card,DSL,0
38,2,76.58,235.9,1,4,1,Month-to-Month,Bank Transfer,DSL,1
53,13,112.91,1438.5,1,1,5,One Year,Mailed Check,Fiber Optic,1
40,53,58.73,3196.06,1,4,3,One Year,Mailed Check,Fiber Optic,0
33,32,26.62,831.27,1,2,4,One Year,Electronic Check,DSL,0
56,16,21.92,384.3,1,3,3,One Year,Bank Transfer,DSL,1
62,32,102.69,3257.45,1,4,5,Month-to-Month,Credit Card,Fiber Optic,1
59,32,72.47,2251.24,3,5,2,Month-to-Month,Electronic Check,Fiber Optic,1
56,11,97.52,1093.45,1,1,3,Month-to-Month,Bank Transfer,Fiber Optic,1
31,10,43.44,466.4,2,2,3,One Year,Bank Transfer,No,0
48,15,54.51,751.86,1,3,3,One Year,Mailed Check,Fiber Optic,1
22,17,23.01,375.82,2,0,4,Month-to-Month,Mailed Check,DSL,0
52,40,116.15,4706.04,2,1,2,One Year,Bank Transfer,Fiber Optic,0
40,18,86.79,1592.23,1,2,4,Month-to-Month,Electronic Check,No,0
46,55,113.32,6212.84,1,0,5,Month-to-Month,Mailed Check,No,1
60,25,46.55,1133.87,2,2,4,One Year,Mailed Check,No,1
28,59,81.15,4885.26,3,4,5,Month-to-Month,Bank Transfer,DSL,1
35,22,87.85,1860.35,1,3,3,One Year,Bank Transfer,Fiber Optic,0
64,30,51.75,1549.54,1,2,3,Two Year,Mailed Check,No,0
29,44,104.81,4538.41,3,4,3,Two Year,Electronic Check,Fiber Optic,1
26,32,114.72,3736.78,1,3,1,Month-to-Month,Mailed Check,DSL,1
27,51,108.49,5532.63,2,0,5,Month-to-Month,Bank Transfer,No,1
61,46,93.91,4328.77,1,2,2,One Year,Mailed Check,Fiber Optic,1
34,21,47.75,1141.19,1,5,5,One Year,Bank Transfer,DSL,0
55,32,48.16,1511.45,2,1,1,One Year,Mailed Check,DSL,0
24,39,116.34,4624.69,2,2,4,Month-to-Month,Bank Transfer,Fiber Optic,0
63,12,21.03,232.82,1,2,2,Month-to-Month,Bank Transfer,Fiber Optic,0
30,47,91.6,4293.52,2,2,1,One Year,Electronic Check,DSL,0
57,18,90.62,1763.07,3,1,4,One Year,Bank Transfer,Fiber Optic,0
59,21,82.27,1719.62,2,2,3,Month-to-Month,Mailed Check,No,1
26,13,119.01,1478.41,1,0,4,Month-to-Month,Bank Transfer,Fiber Optic,0
67,21,51.19,1089.09,2,0,4,One Year,Credit Card,DSL,1
44,8,54.0,423.36,2,0,2,Month-to-Month,Mailed Check,Fiber Optic,0
19,46,27.89,1301.29,3,2,5,Month-to-Month,Electronic Check,DSL,0
22,7,64.28,443.28,2,5,3,Month-to-Month,Mailed Check,DSL,1
46,23,46.1,1171.08,1,3,4,Month-to-Month,Electronic Check,Fiber Optic,0
54,22,54.34,1223.32,2,4,3,One Year,Credit Card,No,1
55,22,103.46,2222.37,2,1,4,Month-to-Month,Electronic Check,Fiber Optic,0
36,29,113.55,3299.18,1,2,3,Month-to-Month,Bank Transfer,DSL,1
25,13,38.57,461.43,2,3,2,Month-to-Month,Credit Card,Fiber Optic,0
65,2,57.25,102.11,1,2,3,Month-to-Month,Credit Card,Fiber Optic,1
62,29,112.86,3227.42,2,3,3,One Year,Electronic Check,No,0
18,52,26.18,1466.72,1,5,3,Month-to-Month,Mailed Check,No,0
39,27,29.24,754.91,2,3,4,One Year,Electronic Check,DSL,0
69,50,36.28,1848.38,4,1,4,Month-to-Month,Electronic Check,DSL,0
34,23,79.52,1812.79,3,2,1,Month-to-Month,Credit Card,DSL,1
24,44,35.05,1484.28,4,1,3,Month-to-Month,Bank Transfer,No,0
42,22,116.81,2579.7,4,2,3,Month-to-Month,Mailed Check,DSL,1
62,43,64.67,2800.84,1,1,1,One Year,Electronic Check,DSL,0
21,37,70.15,2623.48,2,2,2,Month-to-Month,Bank Transfer,Fiber Optic,1
